"label","n","parent","id"
"Brazil",72,"total -  Family","total -  Family  -  Brazil"
"Brazil",34,"total -  Fantasy","total -  Fantasy  -  Brazil"
"Brazil",3,"total -  Film Noir","total -  Film Noir  -  Brazil"
"Brazil",4,"total -  Game Show","total -  Game Show  -  Brazil"
"Brazil",3,"total -  History","total -  History  -  Brazil"
"Brazil",29,"total -  Horror","total -  Horror  -  Brazil"
"Brazil",44,"total -  Music","total -  Music  -  Brazil"
"Brazil",24,"total -  Musical","total -  Musical  -  Brazil"
"Brazil",40,"total -  Mystery","total -  Mystery  -  Brazil"
"Brazil",11,"total -  Reality TV","total -  Reality TV  -  Brazil"
"Brazil",146,"total -  Romance","total -  Romance  -  Brazil"
"Brazil",20,"total -  Sci Fi","total -  Sci Fi  -  Brazil"
"Brazil",9,"total -  Sport","total -  Sport  -  Brazil"
"Brazil",6,"total -  Talk Show","total -  Talk Show  -  Brazil"
"Brazil",59,"total -  Thriller","total -  Thriller  -  Brazil"
"Brazil",2,"total -  War","total -  War  -  Brazil"
"Brazil",3,"total -  Western","total -  Western  -  Brazil"
"Bulgaria",219,"total -  Action","total -  Action  -  Bulgaria"
"Bulgaria",132,"total -  Adventure","total -  Adventure  -  Bulgaria"
"Bulgaria",44,"total -  Animation","total -  Animation  -  Bulgaria"
"Bulgaria",9,"total -  Biography","total -  Biography  -  Bulgaria"
"Bulgaria",176,"total -  Comedy","total -  Comedy  -  Bulgaria"
"Bulgaria",125,"total -  Crime","total -  Crime  -  Bulgaria"
"Bulgaria",28,"total -  Documentary","total -  Documentary  -  Bulgaria"
"Bulgaria",303,"total -  Drama","total -  Drama  -  Bulgaria"
"Bulgaria",27,"total -  Family","total -  Family  -  Bulgaria"
"Bulgaria",45,"total -  Fantasy","total -  Fantasy  -  Bulgaria"
"Bulgaria",3,"total -  Film Noir","total -  Film Noir  -  Bulgaria"
"Bulgaria",10,"total -  Game Show","total -  Game Show  -  Bulgaria"
"Bulgaria",4,"total -  History","total -  History  -  Bulgaria"
"Bulgaria",31,"total -  Horror","total -  Horror  -  Bulgaria"
"Bulgaria",2,"total -  Music","total -  Music  -  Bulgaria"
"Bulgaria",1,"total -  Musical","total -  Musical  -  Bulgaria"
"Bulgaria",43,"total -  Mystery","total -  Mystery  -  Bulgaria"
"Bulgaria",19,"total -  Reality TV","total -  Reality TV  -  Bulgaria"
"Bulgaria",100,"total -  Romance","total -  Romance  -  Bulgaria"
"Bulgaria",38,"total -  Sci Fi","total -  Sci Fi  -  Bulgaria"
"Bulgaria",14,"total -  Sport","total -  Sport  -  Bulgaria"
"Bulgaria",11,"total -  Talk Show","total -  Talk Show  -  Bulgaria"
"Bulgaria",61,"total -  Thriller","total -  Thriller  -  Bulgaria"
"Bulgaria",3,"total -  War","total -  War  -  Bulgaria"
"Bulgaria",7,"total -  Western","total -  Western  -  Bulgaria"
"Canada",175,"total -  Action","total -  Action  -  Canada"
"Canada",109,"total -  Adventure","total -  Adventure  -  Canada"
"Canada",49,"total -  Animation","total -  Animation  -  Canada"
"Canada",13,"total -  Biography","total -  Biography  -  Canada"
