"parents","n","labels","id"
"Czech Republic",287," Drama","Czech Republic  -   Drama"
"Czech Republic",25," Family","Czech Republic  -   Family"
"Czech Republic",53," Fantasy","Czech Republic  -   Fantasy"
"Czech Republic",2," Film Noir","Czech Republic  -   Film Noir"
"Czech Republic",12," Game Show","Czech Republic  -   Game Show"
"Czech Republic",5," History","Czech Republic  -   History"
"Czech Republic",29," Horror","Czech Republic  -   Horror"
"Czech Republic",2," Music","Czech Republic  -   Music"
"Czech Republic",52," Mystery","Czech Republic  -   Mystery"
"Czech Republic",24," Reality TV","Czech Republic  -   Reality TV"
"Czech Republic",75," Romance","Czech Republic  -   Romance"
"Czech Republic",17," Sci Fi","Czech Republic  -   Sci Fi"
"Czech Republic",15," Sport","Czech Republic  -   Sport"
"Czech Republic",10," Talk Show","Czech Republic  -   Talk Show"
"Czech Republic",44," Thriller","Czech Republic  -   Thriller"
"Czech Republic",3," War","Czech Republic  -   War"
"Czech Republic",6," Western","Czech Republic  -   Western"
"Denmark",192," Action","Denmark  -   Action"
"Denmark",132," Adventure","Denmark  -   Adventure"
"Denmark",53," Animation","Denmark  -   Animation"
"Denmark",12," Biography","Denmark  -   Biography"
"Denmark",178," Comedy","Denmark  -   Comedy"
"Denmark",146," Crime","Denmark  -   Crime"
"Denmark",30," Documentary","Denmark  -   Documentary"
"Denmark",313," Drama","Denmark  -   Drama"
"Denmark",24," Family","Denmark  -   Family"
"Denmark",45," Fantasy","Denmark  -   Fantasy"
"Denmark",2," Film Noir","Denmark  -   Film Noir"
"Denmark",10," Game Show","Denmark  -   Game Show"
"Denmark",8," History","Denmark  -   History"
"Denmark",23," Horror","Denmark  -   Horror"
"Denmark",3," Music","Denmark  -   Music"
"Denmark",1," Musical","Denmark  -   Musical"
"Denmark",50," Mystery","Denmark  -   Mystery"
"Denmark",28," Reality TV","Denmark  -   Reality TV"
"Denmark",89," Romance","Denmark  -   Romance"
"Denmark",24," Sci Fi","Denmark  -   Sci Fi"
"Denmark",12," Sport","Denmark  -   Sport"
"Denmark",7," Talk Show","Denmark  -   Talk Show"
"Denmark",57," Thriller","Denmark  -   Thriller"
"Denmark",10," War","Denmark  -   War"
"Denmark",11," Western","Denmark  -   Western"
"Dominican Republic",177," Action","Dominican Republic  -   Action"
"Dominican Republic",1," Adult","Dominican Republic  -   Adult"
"Dominican Republic",111," Adventure","Dominican Republic  -   Adventure"
"Dominican Republic",49," Animation","Dominican Republic  -   Animation"
"Dominican Republic",3," Biography","Dominican Republic  -   Biography"
"Dominican Republic",155," Comedy","Dominican Republic  -   Comedy"
"Dominican Republic",124," Crime","Dominican Republic  -   Crime"
"Dominican Republic",13," Documentary","Dominican Republic  -   Documentary"
"Dominican Republic",283," Drama","Dominican Republic  -   Drama"
"Dominican Republic",20," Family","Dominican Republic  -   Family"
"Dominican Republic",42," Fantasy","Dominican Republic  -   Fantasy"
"Dominican Republic",2," Film Noir","Dominican Republic  -   Film Noir"
"Dominican Republic",2," Game Show","Dominican Republic  -   Game Show"
"Dominican Republic",3," History","Dominican Republic  -   History"
"Dominican Republic",29," Horror","Dominican Republic  -   Horror"
"Dominican Republic",36," Music","Dominican Republic  -   Music"
"Dominican Republic",3," Musical","Dominican Republic  -   Musical"
"Dominican Republic",39," Mystery","Dominican Republic  -   Mystery"
"Dominican Republic",3," Reality TV","Dominican Republic  -   Reality TV"
"Dominican Republic",80," Romance","Dominican Republic  -   Romance"
"Dominican Republic",20," Sci Fi","Dominican Republic  -   Sci Fi"
"Dominican Republic",9," Sport","Dominican Republic  -   Sport"
"Dominican Republic",5," Talk Show","Dominican Republic  -   Talk Show"
"Dominican Republic",70," Thriller","Dominican Republic  -   Thriller"
"Dominican Republic",2," War","Dominican Republic  -   War"
"Dominican Republic",1," Western","Dominican Republic  -   Western"
"Ecuador",149," Action","Ecuador  -   Action"
"Ecuador",1," Adult","Ecuador  -   Adult"
"Ecuador",125," Adventure","Ecuador  -   Adventure"
"Ecuador",69," Animation","Ecuador  -   Animation"
"Ecuador",1," Biography","Ecuador  -   Biography"
"Ecuador",204," Comedy","Ecuador  -   Comedy"
"Ecuador",87," Crime","Ecuador  -   Crime"
"Ecuador",13," Documentary","Ecuador  -   Documentary"
"Ecuador",275," Drama","Ecuador  -   Drama"
"Ecuador",16," Family","Ecuador  -   Family"
"Ecuador",33," Fantasy","Ecuador  -   Fantasy"
"Ecuador",2," Film Noir","Ecuador  -   Film Noir"
"Ecuador",1," History","Ecuador  -   History"
"Ecuador",27," Horror","Ecuador  -   Horror"
"Ecuador",34," Music","Ecuador  -   Music"
"Ecuador",1," Musical","Ecuador  -   Musical"
"Ecuador",33," Mystery","Ecuador  -   Mystery"
"Ecuador",3," Reality TV","Ecuador  -   Reality TV"
"Ecuador",101," Romance","Ecuador  -   Romance"
"Ecuador",20," Sci Fi","Ecuador  -   Sci Fi"
"Ecuador",9," Sport","Ecuador  -   Sport"
"Ecuador",5," Talk Show","Ecuador  -   Talk Show"
"Ecuador",62," Thriller","Ecuador  -   Thriller"
"Ecuador",2," War","Ecuador  -   War"
"Ecuador",1," Western","Ecuador  -   Western"
"Egypt",192," Action","Egypt  -   Action"
"Egypt",2," Adult","Egypt  -   Adult"
"Egypt",109," Adventure","Egypt  -   Adventure"
"Egypt",28," Animation","Egypt  -   Animation"
"Egypt",11," Biography","Egypt  -   Biography"
"Egypt",154," Comedy","Egypt  -   Comedy"
"Egypt",116," Crime","Egypt  -   Crime"
"Egypt",16," Documentary","Egypt  -   Documentary"
"Egypt",329," Drama","Egypt  -   Drama"
"Egypt",18," Family","Egypt  -   Family"
"Egypt",46," Fantasy","Egypt  -   Fantasy"
"Egypt",3," Film Noir","Egypt  -   Film Noir"
"Egypt",4," Game Show","Egypt  -   Game Show"
"Egypt",8," History","Egypt  -   History"
"Egypt",35," Horror","Egypt  -   Horror"
"Egypt",1," Music","Egypt  -   Music"
"Egypt",1," Musical","Egypt  -   Musical"
"Egypt",41," Mystery","Egypt  -   Mystery"
"Egypt",9," Reality TV","Egypt  -   Reality TV"
"Egypt",105," Romance","Egypt  -   Romance"
"Egypt",27," Sci Fi","Egypt  -   Sci Fi"
"Egypt",6," Sport","Egypt  -   Sport"
"Egypt",12," Talk Show","Egypt  -   Talk Show"
"Egypt",72," Thriller","Egypt  -   Thriller"
"Egypt",3," War","Egypt  -   War"
"Egypt",5," Western","Egypt  -   Western"
"El Salvador",139," Action","El Salvador  -   Action"
"El Salvador",108," Adventure","El Salvador  -   Adventure"
"El Salvador",64," Animation","El Salvador  -   Animation"
"El Salvador",1," Biography","El Salvador  -   Biography"
"El Salvador",194," Comedy","El Salvador  -   Comedy"
"El Salvador",102," Crime","El Salvador  -   Crime"
"El Salvador",12," Documentary","El Salvador  -   Documentary"
"El Salvador",291," Drama","El Salvador  -   Drama"
"El Salvador",15," Family","El Salvador  -   Family"
"El Salvador",34," Fantasy","El Salvador  -   Fantasy"
"El Salvador",2," Film Noir","El Salvador  -   Film Noir"
"El Salvador",1," History","El Salvador  -   History"
"El Salvador",24," Horror","El Salvador  -   Horror"
"El Salvador",33," Music","El Salvador  -   Music"
"El Salvador",1," Musical","El Salvador  -   Musical"
"El Salvador",34," Mystery","El Salvador  -   Mystery"
"El Salvador",2," Reality TV","El Salvador  -   Reality TV"
"El Salvador",106," Romance","El Salvador  -   Romance"
"El Salvador",20," Sci Fi","El Salvador  -   Sci Fi"
"El Salvador",10," Sport","El Salvador  -   Sport"
"El Salvador",5," Talk Show","El Salvador  -   Talk Show"
