"id","n","label","parent"
"total -  Action  -  Ecuador",149,"Ecuador","total -  Action"
"total -  Adventure  -  Ecuador",125,"Ecuador","total -  Adventure"
"total -  Animation  -  Ecuador",69,"Ecuador","total -  Animation"
"total -  Comedy  -  Ecuador",204,"Ecuador","total -  Comedy"
"total -  Crime  -  Ecuador",87,"Ecuador","total -  Crime"
"total -  Drama  -  Ecuador",275,"Ecuador","total -  Drama"
"total -  Fantasy  -  Ecuador",33,"Ecuador","total -  Fantasy"
"total -  Music  -  Ecuador",34,"Ecuador","total -  Music"
"total -  Mystery  -  Ecuador",33,"Ecuador","total -  Mystery"
"total -  Romance  -  Ecuador",101,"Ecuador","total -  Romance"
"total -  Thriller  -  Ecuador",62,"Ecuador","total -  Thriller"
"total -  Action  -  Egypt",192,"Egypt","total -  Action"
"total -  Adventure  -  Egypt",109,"Egypt","total -  Adventure"
"total -  Comedy  -  Egypt",154,"Egypt","total -  Comedy"
"total -  Crime  -  Egypt",116,"Egypt","total -  Crime"
"total -  Drama  -  Egypt",329,"Egypt","total -  Drama"
"total -  Fantasy  -  Egypt",46,"Egypt","total -  Fantasy"
"total -  Horror  -  Egypt",35,"Egypt","total -  Horror"
"total -  Mystery  -  Egypt",41,"Egypt","total -  Mystery"
"total -  Romance  -  Egypt",105,"Egypt","total -  Romance"
"total -  Thriller  -  Egypt",72,"Egypt","total -  Thriller"
"total -  Action  -  El Salvador",139,"El Salvador","total -  Action"
"total -  Adventure  -  El Salvador",108,"El Salvador","total -  Adventure"
"total -  Animation  -  El Salvador",64,"El Salvador","total -  Animation"
"total -  Comedy  -  El Salvador",194,"El Salvador","total -  Comedy"
"total -  Crime  -  El Salvador",102,"El Salvador","total -  Crime"
"total -  Drama  -  El Salvador",291,"El Salvador","total -  Drama"
"total -  Fantasy  -  El Salvador",34,"El Salvador","total -  Fantasy"
"total -  Mystery  -  El Salvador",34,"El Salvador","total -  Mystery"
"total -  Romance  -  El Salvador",106,"El Salvador","total -  Romance"
"total -  Thriller  -  El Salvador",59,"El Salvador","total -  Thriller"
"total -  Action  -  Estonia",188,"Estonia","total -  Action"
"total -  Adventure  -  Estonia",137,"Estonia","total -  Adventure"
"total -  Comedy  -  Estonia",202,"Estonia","total -  Comedy"
"total -  Crime  -  Estonia",121,"Estonia","total -  Crime"
"total -  Drama  -  Estonia",266,"Estonia","total -  Drama"
"total -  Fantasy  -  Estonia",50,"Estonia","total -  Fantasy"
"total -  Mystery  -  Estonia",60,"Estonia","total -  Mystery"
"total -  Romance  -  Estonia",86,"Estonia","total -  Romance"
"total -  Sci Fi  -  Estonia",61,"Estonia","total -  Sci Fi"
"total -  Thriller  -  Estonia",56,"Estonia","total -  Thriller"
"total -  Action  -  Finland",202,"Finland","total -  Action"
"total -  Adventure  -  Finland",126,"Finland","total -  Adventure"
"total -  Animation  -  Finland",52,"Finland","total -  Animation"
"total -  Comedy  -  Finland",170,"Finland","total -  Comedy"
"total -  Crime  -  Finland",148,"Finland","total -  Crime"
"total -  Drama  -  Finland",329,"Finland","total -  Drama"
"total -  Fantasy  -  Finland",41,"Finland","total -  Fantasy"
"total -  Mystery  -  Finland",53,"Finland","total -  Mystery"
"total -  Romance  -  Finland",79,"Finland","total -  Romance"
"total -  Thriller  -  Finland",56,"Finland","total -  Thriller"
"total -  Action  -  France",209,"France","total -  Action"
"total -  Adventure  -  France",135,"France","total -  Adventure"
"total -  Comedy  -  France",152,"France","total -  Comedy"
"total -  Crime  -  France",161,"France","total -  Crime"
"total -  Drama  -  France",344,"France","total -  Drama"
"total -  Fantasy  -  France",65,"France","total -  Fantasy"
"total -  Mystery  -  France",46,"France","total -  Mystery"
"total -  Romance  -  France",70,"France","total -  Romance"
"total -  Sci Fi  -  France",49,"France","total -  Sci Fi"
"total -  Thriller  -  France",72,"France","total -  Thriller"
"total -  Action  -  Germany",211,"Germany","total -  Action"
"total -  Adventure  -  Germany",155,"Germany","total -  Adventure"
"total -  Comedy  -  Germany",180,"Germany","total -  Comedy"
"total -  Crime  -  Germany",156,"Germany","total -  Crime"
"total -  Drama  -  Germany",310,"Germany","total -  Drama"
"total -  Family  -  Germany",56,"Germany","total -  Family"
"total -  Fantasy  -  Germany",71,"Germany","total -  Fantasy"
"total -  Mystery  -  Germany",51,"Germany","total -  Mystery"
"total -  Romance  -  Germany",73,"Germany","total -  Romance"
"total -  Thriller  -  Germany",70,"Germany","total -  Thriller"
"total -  Action  -  Greece",195,"Greece","total -  Action"
"total -  Adventure  -  Greece",132,"Greece","total -  Adventure"
"total -  Animation  -  Greece",47,"Greece","total -  Animation"
"total -  Comedy  -  Greece",162,"Greece","total -  Comedy"
"total -  Crime  -  Greece",150,"Greece","total -  Crime"
"total -  Drama  -  Greece",332,"Greece","total -  Drama"
"total -  Fantasy  -  Greece",51,"Greece","total -  Fantasy"
"total -  Mystery  -  Greece",53,"Greece","total -  Mystery"
"total -  Romance  -  Greece",83,"Greece","total -  Romance"
"total -  Thriller  -  Greece",53,"Greece","total -  Thriller"
"total -  Action  -  Guadeloupe",217,"Guadeloupe","total -  Action"
"total -  Adventure  -  Guadeloupe",104,"Guadeloupe","total -  Adventure"
"total -  Animation  -  Guadeloupe",41,"Guadeloupe","total -  Animation"
"total -  Comedy  -  Guadeloupe",145,"Guadeloupe","total -  Comedy"
"total -  Crime  -  Guadeloupe",160,"Guadeloupe","total -  Crime"
"total -  Drama  -  Guadeloupe",339,"Guadeloupe","total -  Drama"
"total -  Fantasy  -  Guadeloupe",55,"Guadeloupe","total -  Fantasy"
"total -  Mystery  -  Guadeloupe",41,"Guadeloupe","total -  Mystery"
"total -  Romance  -  Guadeloupe",77,"Guadeloupe","total -  Romance"
"total -  Sci Fi  -  Guadeloupe",41,"Guadeloupe","total -  Sci Fi"
"total -  Thriller  -  Guadeloupe",69,"Guadeloupe","total -  Thriller"
"total -  Action  -  Guatemala",124,"Guatemala","total -  Action"
"total -  Adventure  -  Guatemala",108,"Guatemala","total -  Adventure"
"total -  Animation  -  Guatemala",63,"Guatemala","total -  Animation"
"total -  Comedy  -  Guatemala",207,"Guatemala","total -  Comedy"
"total -  Crime  -  Guatemala",93,"Guatemala","total -  Crime"
"total -  Drama  -  Guatemala",299,"Guatemala","total -  Drama"
"total -  Music  -  Guatemala",35,"Guatemala","total -  Music"
"total -  Mystery  -  Guatemala",37,"Guatemala","total -  Mystery"
"total -  Romance  -  Guatemala",115,"Guatemala","total -  Romance"
"total -  Thriller  -  Guatemala",54,"Guatemala","total -  Thriller"
"total -  Action  -  Honduras",134,"Honduras","total -  Action"
"total -  Adventure  -  Honduras",94,"Honduras","total -  Adventure"
"total -  Animation  -  Honduras",46,"Honduras","total -  Animation"
"total -  Comedy  -  Honduras",195,"Honduras","total -  Comedy"
"total -  Crime  -  Honduras",104,"Honduras","total -  Crime"
"total -  Drama  -  Honduras",309,"Honduras","total -  Drama"
"total -  Fantasy  -  Honduras",36,"Honduras","total -  Fantasy"
"total -  Mystery  -  Honduras",38,"Honduras","total -  Mystery"
"total -  Romance  -  Honduras",120,"Honduras","total -  Romance"
"total -  Thriller  -  Honduras",63,"Honduras","total -  Thriller"
"total -  Action  -  Hong Kong",244,"Hong Kong","total -  Action"
"total -  Adventure  -  Hong Kong",120,"Hong Kong","total -  Adventure"
"total -  Comedy  -  Hong Kong",151,"Hong Kong","total -  Comedy"
"total -  Crime  -  Hong Kong",119,"Hong Kong","total -  Crime"
"total -  Drama  -  Hong Kong",340,"Hong Kong","total -  Drama"
"total -  Fantasy  -  Hong Kong",57,"Hong Kong","total -  Fantasy"
"total -  Mystery  -  Hong Kong",69,"Hong Kong","total -  Mystery"
"total -  Romance  -  Hong Kong",117,"Hong Kong","total -  Romance"
"total -  Sci Fi  -  Hong Kong",59,"Hong Kong","total -  Sci Fi"
"total -  Thriller  -  Hong Kong",80,"Hong Kong","total -  Thriller"
"total -  Action  -  Hungary",196,"Hungary","total -  Action"
"total -  Adventure  -  Hungary",131,"Hungary","total -  Adventure"
"total -  Animation  -  Hungary",61,"Hungary","total -  Animation"
"total -  Comedy  -  Hungary",189,"Hungary","total -  Comedy"
"total -  Crime  -  Hungary",149,"Hungary","total -  Crime"
"total -  Drama  -  Hungary",304,"Hungary","total -  Drama"
"total -  Fantasy  -  Hungary",46,"Hungary","total -  Fantasy"
"total -  Mystery  -  Hungary",51,"Hungary","total -  Mystery"
"total -  Romance  -  Hungary",93,"Hungary","total -  Romance"
"total -  Thriller  -  Hungary",53,"Hungary","total -  Thriller"
"total -  Action  -  Iceland",187,"Iceland","total -  Action"
"total -  Adventure  -  Iceland",127,"Iceland","total -  Adventure"
"total -  Animation  -  Iceland",48,"Iceland","total -  Animation"
"total -  Comedy  -  Iceland",190,"Iceland","total -  Comedy"
"total -  Crime  -  Iceland",141,"Iceland","total -  Crime"
"total -  Drama  -  Iceland",285,"Iceland","total -  Drama"
"total -  Mystery  -  Iceland",48,"Iceland","total -  Mystery"
"total -  Romance  -  Iceland",85,"Iceland","total -  Romance"
"total -  Sci Fi  -  Iceland",51,"Iceland","total -  Sci Fi"
"total -  Thriller  -  Iceland",57,"Iceland","total -  Thriller"
"total -  Action  -  India",261,"India","total -  Action"
"total -  Adventure  -  India",80,"India","total -  Adventure"
"total -  Comedy  -  India",172,"India","total -  Comedy"
"total -  Crime  -  India",216,"India","total -  Crime"
"total -  Drama  -  India",397,"India","total -  Drama"
"total -  Fantasy  -  India",48,"India","total -  Fantasy"
"total -  Horror  -  India",27,"India","total -  Horror"
"total -  Mystery  -  India",72,"India","total -  Mystery"
"total -  Romance  -  India",92,"India","total -  Romance"
"total -  Thriller  -  India",76,"India","total -  Thriller"
"total -  Action  -  Indonesia",199,"Indonesia","total -  Action"
"total -  Adventure  -  Indonesia",88,"Indonesia","total -  Adventure"
"total -  Comedy  -  Indonesia",184,"Indonesia","total -  Comedy"
"total -  Crime  -  Indonesia",138,"Indonesia","total -  Crime"
"total -  Drama  -  Indonesia",351,"Indonesia","total -  Drama"
"total -  Fantasy  -  Indonesia",56,"Indonesia","total -  Fantasy"
"total -  Horror  -  Indonesia",43,"Indonesia","total -  Horror"
"total -  Mystery  -  Indonesia",72,"Indonesia","total -  Mystery"
"total -  Romance  -  Indonesia",110,"Indonesia","total -  Romance"
"total -  Thriller  -  Indonesia",81,"Indonesia","total -  Thriller"
"total -  Action  -  Ireland",144,"Ireland","total -  Action"
"total -  Adventure  -  Ireland",135,"Ireland","total -  Adventure"
"total -  Animation  -  Ireland",66,"Ireland","total -  Animation"
"total -  Comedy  -  Ireland",210,"Ireland","total -  Comedy"
"total -  Crime  -  Ireland",126,"Ireland","total -  Crime"
"total -  Documentary  -  Ireland",33,"Ireland","total -  Documentary"
"total -  Drama  -  Ireland",275,"Ireland","total -  Drama"
"total -  Mystery  -  Ireland",35,"Ireland","total -  Mystery"
"total -  Romance  -  Ireland",87,"Ireland","total -  Romance"
"total -  Thriller  -  Ireland",60,"Ireland","total -  Thriller"
"total -  Action  -  Israel",185,"Israel","total -  Action"
"total -  Adventure  -  Israel",125,"Israel","total -  Adventure"
"total -  Animation  -  Israel",50,"Israel","total -  Animation"
"total -  Comedy  -  Israel",162,"Israel","total -  Comedy"
"total -  Crime  -  Israel",126,"Israel","total -  Crime"
"total -  Drama  -  Israel",313,"Israel","total -  Drama"
"total -  Mystery  -  Israel",37,"Israel","total -  Mystery"
"total -  Romance  -  Israel",82,"Israel","total -  Romance"
"total -  Sci Fi  -  Israel",35,"Israel","total -  Sci Fi"
"total -  Thriller  -  Israel",80,"Israel","total -  Thriller"
"total -  Action  -  Italy",172,"Italy","total -  Action"
"total -  Adventure  -  Italy",86,"Italy","total -  Adventure"
"total -  Comedy  -  Italy",168,"Italy","total -  Comedy"
"total -  Crime  -  Italy",149,"Italy","total -  Crime"
"total -  Drama  -  Italy",362,"Italy","total -  Drama"
"total -  Fantasy  -  Italy",45,"Italy","total -  Fantasy"
"total -  Mystery  -  Italy",68,"Italy","total -  Mystery"
"total -  Romance  -  Italy",86,"Italy","total -  Romance"
"total -  Sci Fi  -  Italy",38,"Italy","total -  Sci Fi"
"total -  Thriller  -  Italy",54,"Italy","total -  Thriller"
"total -  Action  -  Jamaica",217,"Jamaica","total -  Action"
"total -  Adventure  -  Jamaica",125,"Jamaica","total -  Adventure"
"total -  Animation  -  Jamaica",81,"Jamaica","total -  Animation"
"total -  Comedy  -  Jamaica",183,"Jamaica","total -  Comedy"
"total -  Crime  -  Jamaica",146,"Jamaica","total -  Crime"
